Iteration 1/150, Global Best Position: [ 3.80474402 98.83356797  2.83297243  2.15713341], Global Best Value: 0.0
Iteration 21/150, Global Best Position: [ 0.07333957 70.          1.5761174   0.        ], Global Best Value: 4.56
Iteration 22/150, Global Best Position: [ 0.07333957 70.          1.5761174   0.        ], Global Best Value: 4.56
Iteration 23/150, Global Best Position: [ 0.07333957 70.          1.5761174   0.        ], Global Best Value: 4.56
Iteration 24/150, Global Best Position: [ 0.07333957 70.          1.5761174   0.        ], Global Best Value: 4.56
Iteration 25/150, Global Best Position: [ 0.07333957 70.          1.5761174   0.        ], Global Best Value: 4.56
Iteration 26/150, Global Best Position: [ 0.07333957 70.          1.5761174   0.        ], Global Best Value: 4.56
Iteration 27/150, Global Best Position: [ 0.07333957 70.          1.5761174   0.        ], Global Best Value: 4.56
Iteration 28/150, Global Best Position: [ 0.07333957 70.          1.5761174   0.        ], Global Best Value: 4.56
Iteration 29/150, Global Best Position: [ 0.07333957 70.          1.5761174   0.        ], Global Best Value: 4.56
Iteration 30/150, Global Best Position: [ 0.07333957 70.          1.5761174   0.        ], Global Best Value: 4.56
Iteration 31/150, Global Best Position: [ 0.07333957 70.          1.5761174   0.        ], Global Best Value: 4.56
Iteration 32/150, Global Best Position: [ 0.07333957 70.          1.5761174   0.        ], Global Best Value: 4.56
Iteration 33/150, Global Best Position: [ 0.07333957 70.          1.5761174   0.        ], Global Best Value: 4.56
Iteration 34/150, Global Best Position: [ 0.07333957 70.          1.5761174   0.        ], Global Best Value: 4.56
Iteration 35/150, Global Best Position: [ 0.07333957 70.          1.5761174   0.        ], Global Best Value: 4.56
Iteration 36/150, Global Best Position: [ 0.07333957 70.          1.5761174   0.        ], Global Best Value: 4.56
Iteration 37/150, Global Best Position: [ 0.07333957 70.          1.5761174   0.        ], Global Best Value: 4.56
Iteration 38/150, Global Best Position: [ 0.07333957 70.          1.5761174   0.        ], Global Best Value: 4.56
Iteration 39/150, Global Best Position: [ 0.07333957 70.          1.5761174   0.        ], Global Best Value: 4.56
Iteration 40/150, Global Best Position: [ 0.07333957 70.          1.5761174   0.        ], Global Best Value: 4.56
Iteration 41/150, Global Best Position: [ 0.07333957 70.          1.5761174   0.        ], Global Best Value: 4.56
Iteration 42/150, Global Best Position: [ 0.07333957 70.          1.5761174   0.        ], Global Best Value: 4.56
Iteration 43/150, Global Best Position: [ 0.07333957 70.          1.5761174   0.        ], Global Best Value: 4.56
Iteration 44/150, Global Best Position: [ 0.07333957 70.          1.5761174   0.        ], Global Best Value: 4.56
Iteration 45/150, Global Best Position: [ 0.07333957 70.          1.5761174   0.        ], Global Best Value: 4.56
Iteration 46/150, Global Best Position: [ 0.07333957 70.          1.5761174   0.        ], Global Best Value: 4.56
Iteration 47/150, Global Best Position: [ 0.07333957 70.          1.5761174   0.        ], Global Best Value: 4.56
Iteration 48/150, Global Best Position: [ 0.07333957 70.          1.5761174   0.        ], Global Best Value: 4.56
Iteration 49/150, Global Best Position: [ 0.07333957 70.          1.5761174   0.        ], Global Best Value: 4.56
Iteration 50/150, Global Best Position: [ 0.07333957 70.          1.5761174   0.        ], Global Best Value: 4.56
Iteration 51/150, Global Best Position: [ 0.07333957 70.          1.5761174   0.        ], Global Best Value: 4.56
Iteration 52/150, Global Best Position: [ 0.07333957 70.          1.5761174   0.        ], Global Best Value: 4.56
Iteration 53/150, Global Best Position: [ 0.07333957 70.          1.5761174   0.        ], Global Best Value: 4.56
Iteration 54/150, Global Best Position: [ 0.07333957 70.          1.5761174   0.        ], Global Best Value: 4.56
Iteration 55/150, Global Best Position: [ 0.07333957 70.          1.5761174   0.        ], Global Best Value: 4.56
Iteration 56/150, Global Best Position: [ 0.07333957 70.          1.5761174   0.        ], Global Best Value: 4.56
Iteration 57/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 58/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 59/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 60/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 61/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 62/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 63/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 64/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 65/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 66/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 67/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 68/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 69/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 70/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 71/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 72/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 73/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 74/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 75/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 76/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 77/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 78/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 79/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 80/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 81/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 82/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 83/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 84/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 85/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 86/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 87/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 88/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 89/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 90/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 91/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 92/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 93/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 94/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 95/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 96/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 97/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 98/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 99/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 100/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 101/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 102/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 103/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 104/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 105/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 106/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 107/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 108/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 109/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 110/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 111/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 112/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 113/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 114/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 115/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 116/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 117/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 118/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 119/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 120/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 121/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 122/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 123/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 124/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 125/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 126/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 127/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 128/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 129/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 130/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 131/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 132/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 133/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 134/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 135/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 136/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 137/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 138/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 139/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 140/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 141/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 142/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 143/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 144/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 145/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 146/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 147/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 148/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 149/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
Iteration 150/150, Global Best Position: [ 0.07324798 70.          1.64719266  0.        ], Global Best Value: 4.5600000000000005
最优值 = 4.5600000000000005
最优位置 = [ 0.07324798 70.          1.64719266  0.        ]
